date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:19:25	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://faithfutures5.wixsite.com/robots.txt		(from )
22:19:26	732938/732938	---MCZ	200	added ('OK')	text/html	etag:W/%2281b120b8de2c5c6be2ce3ff2d58a2906%22	https://faithfutures5.wixsite.com/mysite	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/mysite.html	(from )
22:19:26	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/Project%20M%20FINAL/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://faithfutures5.wixsite.com/mysite)
22:19:26	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/Project%20M%20FINAL/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://faithfutures5.wixsite.com/mysite)
22:19:27	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2005%20Dec%202024%2003:19:26%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/Project%20M%20FINAL/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://faithfutures5.wixsite.com/mysite)
22:19:27	2475/2475	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2003:19:27%20GMT	https://faithfutures5.wixsite.com/c	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/c.4.delayed	(from https://faithfutures5.wixsite.com/mysite)
22:19:28	2475/2475	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2003:19:28%20GMT	https://faithfutures5.wixsite.com/t	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/t.5.delayed	(from https://faithfutures5.wixsite.com/mysite)
22:19:28	2476/2476	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2003:19:28%20GMT	https://faithfutures5.wixsite.com/	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/index.html	(from https://faithfutures5.wixsite.com/mysite)
22:19:29	4048/4048	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Dec%202024%2003:19:28%20GMT	https://static.wixstatic.com/media/e1cedd_70d7ad205058497380ba6c20ca7551ec~mv2.jpg/v1/fill/w_141,h_62,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Image%2011-15-24%20at%2012_edited.jpg	C:/My%20Web%20Sites/Project%20M%20FINAL/static.wixstatic.com/media/e1cedd_70d7ad205058497380ba6c20ca7551ec_mv2.jpg/v1/fill/w_141,h_62,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Image%2011-15-24%20at%2012_edited.jpg	(from https://faithfutures5.wixsite.com/mysite)
22:19:30	690400/690400	---MCZ	200	added ('OK')	text/html	etag:W/%228eda875e4dd8d682529377c4ade3480c%22	https://faithfutures5.wixsite.com/mysite/colleges	C:/My%20Web%20Sites/Project%20M%20FINAL/faithfutures5.wixsite.com/mysite/colleges.html	(from https://faithfutures5.wixsite.com/mysite)
